function,n,gradient_approach,k,optimizer,lr,loss
styblinski-tang,32,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.0006131500237344598,-1239.1805419921875
styblinski-tang,32,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.0007073524312588659,-1253.3173828125
styblinski-tang,32,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.00173826181500908,-1253.3173828125
styblinski-tang,32,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.003889903503622162,-1253.3173828125
styblinski-tang,32,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.012608395284851722,-1239.1806640625
styblinski-tang,32,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.01539066836841984,-1253.3173828125
styblinski-tang,32,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.011774502767304991,-1253.3173828125
styblinski-tang,64,bp,,Backpropagation,0.051442656804336566,-2506.635009765625
styblinski-tang,64,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.00053525743856458,-2363.8271484375
styblinski-tang,64,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.0003912735570754884,-2432.67578125
styblinski-tang,64,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.0004976756458628378,-2492.49658203125
styblinski-tang,64,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.000958603984466844,-2506.634765625
styblinski-tang,64,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.02114290247126804,-2407.67529296875
styblinski-tang,64,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.008896217866412195,-2492.497802734375
styblinski-tang,64,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.004202621051012061,-2506.634765625
styblinski-tang,128,bp,,Backpropagation,0.05399332921854338,-5013.27001953125
styblinski-tang,128,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.0003912735570754884,-4376.40869140625
styblinski-tang,128,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.00046515504450346924,-4676.6845703125
styblinski-tang,128,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.00046515504450346924,-4856.0791015625
styblinski-tang,128,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.0004976756458628378,-5012.4775390625
styblinski-tang,128,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.03529607532965169,-4686.77197265625
styblinski-tang,128,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.02302513718223947,-4829.4873046875
styblinski-tang,128,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.004202621051012061,-5013.26953125
styblinski-tang,256,bp,,Backpropagation,0.05357344609392114,-10026.5400390625
styblinski-tang,256,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.00025942361544535744,-7630.57666015625
styblinski-tang,256,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.0003644553175655029,-8806.826171875
styblinski-tang,256,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.0005089740928562346,-9211.865234375
styblinski-tang,256,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.0003912735570754884,-9951.9296875
styblinski-tang,256,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.05739747378299527,-8700.0703125
styblinski-tang,256,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.03529607532965169,-9155.505859375
styblinski-tang,256,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.00682147123076706,-9947.8671875
styblinski-tang,512,bp,,Backpropagation,0.05399332921854338,-20053.080078125
styblinski-tang,512,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.00019644884025676234,-12107.1611328125
styblinski-tang,512,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.00025942361544535744,-14824.48046875
styblinski-tang,512,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.00038237836794130894,-17493.52734375
styblinski-tang,512,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.0003912735570754884,-19234.17578125
styblinski-tang,512,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.07271846227465482,-14754.8232421875
styblinski-tang,512,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.04999977948991148,-17478.29296875
